,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
22,51.0,No,Travel_Rarely,Sales,2,2,Life Sciences,1,Male,3,1,Sales Representative,3,Married,4197.0,0,No,19,4.0,3,1,4.0,3,4.0,2
23,55.0,No,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,3,3,Sales Executive,3,Divorced,5003.0,0,No,12,4.0,3,2,6.0,2,10.0,10
24,36.0,No,Non-Travel,Sales,10,1,Medical,4,Male,3,1,Sales Representative,2,Married,9980.0,1,No,22,3.0,2,0,3.0,3,10.0,0
25,31.0,No,Travel_Rarely,Human Resources,2,3,Human Resources,3,Female,3,1,Human Resources,2,Married,3978.0,4,No,14,3.0,3,0,0.0,3,2.0,0
26,28.0,No,Travel_Rarely,Sales,8,4,Life Sciences,1,Male,2,3,Sales Executive,1,Single,4084.0,1,No,15,3.0,2,0,2.0,3,22.0,7
27,38.0,No,Travel_Frequently,Research & Development,29,3,Medical,2,Female,3,2,Laboratory Technician,3,Married,3376.0,4,No,13,3.0,1,2,4.0,3,6.0,7
28,32.0,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Female,3,1,Research Scientist,4,Married,3038.0,3,No,21,3.0,4,2,3.0,2,1.0,2
29,40.0,No,Travel_Rarely,Research & Development,1,3,Medical,4,Male,3,5,Manager,1,Single,10475.0,0,Yes,14,3.0,3,0,2.0,3,18.0,10
30,33.0,No,Travel_Rarely,Sales,18,3,Medical,3,Male,3,2,Sales Executive,3,Married,7104.0,1,No,16,3.0,2,0,0.0,3,5.0,2
31,29.0,No,Travel_Rarely,Research & Development,5,3,Technical Degree,3,Male,2,3,Healthcare Representative,2,Divorced,9610.0,2,Yes,13,3.0,4,1,2.0,3,4.0,0
32,36.0,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,Male,1,2,Healthcare Representative,2,Married,4678.0,5,No,15,3.0,1,0,2.0,1,6.0,0
33,37.0,No,Travel_Rarely,Research & Development,3,3,Technical Degree,3,Male,3,2,Research Scientist,2,Single,10609.0,4,No,12,3.0,4,0,2.0,3,14.0,0
34,44.0,No,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Female,1,1,Research Scientist,4,Married,2153.0,1,No,12,3.0,4,1,4.0,3,17.0,3
35,46.0,No,Travel_Rarely,Research & Development,1,2,Medical,3,Female,2,1,Research Scientist,1,Married,16872.0,2,No,14,3.0,1,1,2.0,2,7.0,1
36,27.0,No,Travel_Frequently,Human Resources,2,1,Human Resources,2,Female,2,2,Human Resources,4,Single,7525.0,1,No,21,3.0,4,0,2.0,2,15.0,1
37,48.0,No,Travel_Rarely,Sales,22,2,Marketing,3,Female,3,2,Sales Executive,2,Married,6439.0,0,No,13,3.0,1,1,2.0,4,8.0,7
38,50.0,No,Non-Travel,Research & Development,10,3,Life Sciences,4,Male,3,3,Healthcare Representative,1,Married,17924.0,7,Yes,13,3.0,4,1,3.0,3,31.0,8
39,34.0,No,Travel_Frequently,Research & Development,2,1,Medical,3,Male,2,4,Manager,1,Single,9547.0,7,No,15,3.0,2,0,2.0,4,10.0,7
40,36.0,No,Travel_Rarely,Research & Development,29,2,Life Sciences,1,Male,3,2,Research Scientist,3,Divorced,8858.0,2,No,11,3.0,2,1,3.0,3,2.0,4
41,55.0,No,Non-Travel,Sales,2,4,Life Sciences,3,Male,3,1,Sales Representative,4,Single,10976.0,3,Yes,21,3.0,4,0,3.0,2,9.0,2
42,45.0,Yes,Travel_Rarely,Research & Development,23,3,Medical,3,Female,3,1,Research Scientist,1,Single,16704.0,0,No,13,3.0,1,0,2.0,3,21.0,2
43,35.0,No,Travel_Rarely,Research & Development,7,2,Medical,2,Male,3,2,Manufacturing Director,1,Married,1951.0,1,No,12,3.0,2,1,3.0,1,1.0,10
44,40.0,No,Travel_Rarely,Sales,17,2,Marketing,3,Male,2,2,Sales Executive,2,Married,2018.0,2,No,16,3.0,3,2,3.0,1,5.0,2
45,41.0,No,Travel_Rarely,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,2235.0,4,No,13,3.0,2,1,3.0,2,2.0,6
46,47.0,No,Travel_Frequently,Research & Development,3,2,Life Sciences,3,Male,3,3,Research Director,4,Single,12936.0,3,No,15,3.0,4,0,3.0,3,10.0,7
47,36.0,No,Travel_Rarely,Research & Development,6,3,Medical,3,Female,4,2,Research Scientist,1,Divorced,7094.0,4,Yes,13,3.0,1,2,0.0,3,7.0,7
48,29.0,No,Travel_Rarely,Research & Development,10,1,Medical,3,Male,3,1,Research Scientist,3,Married,2804.0,0,No,17,3.0,2,1,3.0,2,1.0,1
49,36.0,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,5914.0,4,No,13,3.0,4,1,3.0,2,13.0,2
50,24.0,No,Travel_Rarely,Sales,5,4,Life Sciences,4,Male,2,3,Sales Executive,1,Married,3597.0,5,Yes,21,3.0,3,1,2.0,3,4.0,13
51,39.0,No,Non-Travel,Human Resources,4,3,Human Resources,3,Male,1,2,Human Resources,2,Married,6472.0,6,No,19,3.0,2,1,2.0,3,9.0,2
52,24.0,No,Travel_Rarely,Research & Development,11,2,Medical,3,Male,3,2,Healthcare Representative,1,Married,2725.0,1,Yes,12,3.0,4,0,3.0,2,6.0,5
53,41.0,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,Female,3,1,Laboratory Technician,4,Married,19545.0,4,No,18,3.0,2,0,0.0,3,22.0,0
54,43.0,No,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Male,2,3,Research Director,2,Married,8740.0,3,No,17,3.0,3,1,6.0,3,10.0,8
55,34.0,No,Travel_Frequently,Sales,26,4,Marketing,3,Female,3,2,Sales Executive,4,Married,10445.0,0,No,18,3.0,1,0,3.0,3,2.0,2
56,45.0,No,Travel_Frequently,Research & Development,15,2,Life Sciences,4,Male,2,2,Laboratory Technician,3,Single,5210.0,0,Yes,12,3.0,4,0,2.0,3,24.0,5
57,58.0,No,Travel_Rarely,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,2476.0,1,No,13,3.0,3,0,2.0,3,31.0,5
58,37.0,No,Travel_Rarely,Research & Development,2,2,Medical,3,Male,2,1,Laboratory Technician,2,Married,6502.0,4,No,14,3.0,2,1,3.0,2,5.0,1
59,24.0,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4617.0,6,No,20,3.0,4,2,2.0,3,9.0,2
60,38.0,Yes,Travel_Frequently,Sales,26,4,Marketing,3,Male,2,2,Sales Executive,1,Single,12185.0,5,No,15,3.0,3,0,2.0,2,6.0,3
61,31.0,Yes,Non-Travel,Research & Development,3,3,Life Sciences,1,Male,3,1,Laboratory Technician,1,Married,9936.0,4,No,12,3.0,3,0,2.0,4,9.0,2
62,55.0,No,Travel_Frequently,Research & Development,5,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,10976.0,0,Yes,14,3.0,3,0,4.0,2,3.0,4
63,44.0,No,Travel_Rarely,Sales,2,2,Marketing,4,Male,3,2,Sales Executive,2,Divorced,2559.0,7,No,12,3.0,3,2,0.0,3,8.0,4
64,60.0,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,5405.0,6,Yes,15,4.0,2,0,2.0,3,1.0,0
65,29.0,No,Travel_Rarely,Research & Development,2,1,Life Sciences,4,Female,4,2,Manufacturing Director,3,Divorced,4898.0,1,No,17,4.0,3,2,5.0,3,0.0,7
66,53.0,No,Travel_Rarely,Research & Development,24,3,Medical,3,Male,2,2,Healthcare Representative,1,Single,17584.0,1,No,19,3.0,2,0,1.0,3,5.0,9
67,27.0,No,Non-Travel,Research & Development,1,2,Life Sciences,4,Male,2,1,Laboratory Technician,1,Married,4621.0,1,No,12,4.0,3,1,4.0,3,3.0,2
68,44.0,No,Travel_Rarely,Research & Development,23,4,Medical,2,Female,1,1,Laboratory Technician,3,Married,5855.0,0,No,16,3.0,2,1,2.0,4,9.0,4
69,37.0,No,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,3,2,Sales Executive,3,Single,3564.0,1,Yes,11,3.0,1,0,3.0,3,8.0,4
70,34.0,No,Travel_Rarely,Research & Development,6,3,Medical,1,Female,2,5,Manager,3,Married,2742.0,7,No,13,3.0,4,0,3.0,3,2.0,12
71,31.0,No,Travel_Rarely,Sales,2,4,Life Sciences,3,Male,3,5,Manager,3,Married,4197.0,0,No,14,3.0,4,0,2.0,3,10.0,15
72,37.0,No,Travel_Frequently,Research & Development,1,2,Life Sciences,2,Male,4,2,Research Scientist,3,Married,10048.0,0,No,24,3.0,1,1,5.0,2,1.0,9
73,45.0,No,Non-Travel,Research & Development,9,4,Life Sciences,3,Male,2,1,Research Scientist,2,Single,13206.0,0,Yes,16,4.0,4,0,1.0,3,20.0,2
74,51.0,No,Travel_Rarely,Research & Development,9,3,Life Sciences,3,Female,2,1,Laboratory Technician,2,Divorced,4936.0,1,No,11,3.0,3,3,2.0,3,7.0,0
76,45.0,Yes,Travel_Rarely,Research & Development,8,1,Medical,4,Female,2,1,Laboratory Technician,3,Single,5006.0,1,Yes,11,3.0,1,0,3.0,3,5.0,4
77,21.0,No,Travel_Rarely,Research & Development,28,3,Life Sciences,4,Female,3,4,Research Director,1,Married,6545.0,4,Yes,11,3.0,2,0,1.0,3,3.0,2
78,28.0,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2713.0,1,No,25,3.0,3,3,2.0,2,5.0,7
79,56.0,No,Travel_Rarely,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4306.0,4,No,12,3.0,4,0,2.0,3,5.0,2
80,35.0,No,Travel_Rarely,Research & Development,7,4,Medical,2,Female,4,2,Research Scientist,2,Married,6834.0,6,Yes,16,3.0,4,0,2.0,3,9.0,0
81,35.0,No,Travel_Rarely,Research & Development,28,3,Life Sciences,4,Male,3,4,Research Director,1,Married,9980.0,3,No,13,3.0,3,1,5.0,4,5.0,6
82,54.0,No,Travel_Rarely,Research & Development,9,3,Medical,3,Female,4,1,Research Scientist,3,Married,2693.0,1,No,16,3.0,4,1,3.0,3,1.0,3
83,49.0,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,11510.0,1,Yes,14,3.0,3,0,2.0,3,7.0,2
84,29.0,No,Travel_Rarely,Sales,29,2,Medical,1,Male,3,2,Sales Executive,3,Divorced,6644.0,5,No,12,3.0,1,2,2.0,3,0.0,0
85,43.0,No,Travel_Rarely,Sales,10,4,Marketing,1,Male,2,3,Sales Executive,2,Divorced,2983.0,2,No,12,3.0,2,1,3.0,2,3.0,0
86,34.0,Yes,Travel_Rarely,Research & Development,8,1,Medical,3,Male,3,1,Laboratory Technician,1,Married,2768.0,1,Yes,17,3.0,3,0,3.0,3,7.0,0
87,41.0,No,Travel_Rarely,Sales,9,2,Medical,1,Male,3,1,Sales Representative,4,Single,19189.0,1,No,24,3.0,3,0,3.0,2,22.0,2
88,58.0,No,Travel_Rarely,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,10552.0,3,No,20,3.0,3,0,3.0,2,6.0,12
89,40.0,No,Travel_Rarely,Research & Development,11,4,Medical,2,Female,3,4,Manager,4,Divorced,10435.0,3,No,20,3.0,1,1,3.0,3,18.0,9
90,38.0,No,Travel_Frequently,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,5321.0,1,No,19,3.0,4,0,1.0,3,8.0,0
91,27.0,No,Non-Travel,Research & Development,7,1,Medical,1,Female,2,1,Laboratory Technician,4,Divorced,2022.0,6,No,14,3.0,3,3,6.0,3,1.0,3
92,60.0,No,Travel_Rarely,Research & Development,2,3,Technical Degree,4,Male,3,1,Research Scientist,1,Single,5405.0,1,No,14,3.0,4,0,1.0,3,2.0,2
93,45.0,Yes,Travel_Rarely,Human Resources,20,2,Medical,4,Male,3,1,Human Resources,2,Married,10851.0,0,Yes,11,3.0,3,0,2.0,3,7.0,1
94,34.0,No,Travel_Rarely,Research & Development,2,1,Other,4,Female,3,1,Laboratory Technician,3,Divorced,6029.0,6,Yes,19,3.0,3,1,3.0,2,2.0,2
95,28.0,No,Travel_Rarely,Human Resources,10,4,Human Resources,3,Male,3,2,Human Resources,3,Married,4908.0,3,No,11,3.0,3,0,3.0,3,4.0,3
96,34.0,No,Travel_Rarely,Sales,1,4,Marketing,2,Male,4,2,Sales Executive,4,Divorced,2691.0,0,No,11,3.0,4,1,4.0,2,10.0,1
97,41.0,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Male,3,2,Research Scientist,4,Married,2289.0,9,No,17,4.0,2,1,2.0,2,5.0,2
98,39.0,No,Travel_Frequently,Research & Development,1,4,Medical,2,Male,3,2,Healthcare Representative,3,Single,12169.0,4,No,12,3.0,3,0,6.0,3,18.0,2
99,38.0,No,Travel_Frequently,Research & Development,8,2,Life Sciences,4,Male,3,1,Research Scientist,4,Single,4735.0,1,No,21,3.0,4,0,4.0,3,13.0,3
100,36.0,No,Travel_Rarely,Sales,18,1,Life Sciences,1,Male,4,2,Sales Executive,3,Married,2342.0,2,No,11,4.0,2,0,3.0,2,5.0,2
101,37.0,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,3,5,Research Director,2,Single,4197.0,7,Yes,12,3.0,4,0,2.0,3,1.0,15
102,25.0,No,Non-Travel,Sales,9,4,Medical,1,Male,3,3,Sales Executive,2,Divorced,4000.0,1,No,13,3.0,4,1,2.0,3,6.0,5
103,30.0,No,Travel_Frequently,Sales,5,3,Marketing,4,Female,3,1,Sales Representative,2,Divorced,4968.0,1,No,11,3.0,3,1,2.0,2,9.0,2
104,35.0,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,2,Sales Executive,2,Single,4859.0,8,No,15,3.0,4,0,3.0,2,5.0,7
105,47.0,Yes,Travel_Rarely,Research & Development,9,3,Medical,2,Male,3,1,Laboratory Technician,1,Single,4537.0,2,Yes,11,4.0,3,0,3.0,2,17.0,0
106,21.0,No,Travel_Rarely,Sales,2,3,Marketing,4,Male,3,2,Sales Executive,3,Married,1232.0,4,Yes,11,3.0,3,1,6.0,2,0.0,0
107,30.0,Yes,Travel_Rarely,Sales,4,4,Medical,4,Male,1,3,Sales Executive,4,Married,9250.0,1,No,11,3.0,3,0,3.0,2,4.0,8
108,32.0,No,Non-Travel,Sales,2,4,Life Sciences,4,Male,2,1,Sales Representative,4,Single,4087.0,1,Yes,18,3.0,1,0,3.0,2,6.0,2
109,45.0,Yes,Travel_Rarely,Sales,9,4,Marketing,1,Male,3,2,Sales Executive,1,Single,6274.0,0,Yes,17,3.0,1,0,2.0,3,10.0,2
110,34.0,No,Travel_Frequently,Sales,8,3,Medical,3,Female,4,2,Sales Executive,4,Married,2231.0,1,No,15,3.0,3,2,3.0,4,4.0,7
111,33.0,No,Travel_Rarely,Sales,9,2,Medical,1,Female,3,2,Sales Executive,1,Married,5324.0,0,No,12,3.0,4,0,2.0,4,3.0,4
112,32.0,No,Travel_Rarely,Sales,27,5,Marketing,3,Female,3,2,Sales Executive,4,Divorced,11159.0,7,No,23,3.0,4,1,6.0,2,7.0,7
114,37.0,No,Travel_Rarely,Human Resources,8,2,Other,3,Male,3,2,Human Resources,2,Divorced,4950.0,2,No,13,3.0,3,0,4.0,2,4.0,0
115,39.0,No,Non-Travel,Research & Development,8,5,Life Sciences,1,Male,3,4,Research Director,2,Single,10920.0,3,No,11,4.0,3,0,2.0,4,6.0,2
116,30.0,Yes,Non-Travel,Sales,4,4,Marketing,4,Male,2,2,Sales Executive,4,Single,8474.0,1,Yes,12,4.0,2,0,2.0,3,11.0,7
117,59.0,No,Travel_Rarely,Sales,7,4,Marketing,4,Female,3,2,Sales Executive,1,Divorced,3540.0,7,No,14,3.0,2,2,4.0,3,19.0,2
118,46.0,No,Travel_Frequently,Research & Development,13,4,Medical,3,Male,2,4,Manager,2,Divorced,10673.0,6,Yes,13,3.0,4,2,5.0,3,3.0,9
119,30.0,No,Travel_Frequently,Research & Development,8,2,Life Sciences,2,Female,3,2,Manufacturing Director,1,Married,4011.0,2,Yes,16,4.0,2,1,2.0,3,12.0,0
120,53.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,1,Laboratory Technician,4,Single,2450.0,7,No,15,3.0,2,0,4.0,2,2.0,2
121,45.0,No,Travel_Rarely,Research & Development,6,2,Other,4,Male,2,1,Laboratory Technician,3,Married,2348.0,1,No,11,3.0,2,1,2.0,3,17.0,4
122,31.0,Yes,Travel_Rarely,Research & Development,1,3,Technical Degree,3,Male,3,1,Research Scientist,3,Single,5582.0,0,No,14,4.0,4,0,2.0,2,9.0,2
123,47.0,No,Non-Travel,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,5467.0,1,Yes,12,3.0,3,0,4.0,3,8.0,14
124,35.0,No,Travel_Frequently,Research & Development,10,4,Technical Degree,4,Female,3,3,Healthcare Representative,3,Married,7547.0,3,No,12,4.0,1,0,3.0,3,2.0,7
125,29.0,Yes,Travel_Rarely,Sales,4,3,Marketing,1,Male,3,2,Sales Executive,2,Single,3622.0,1,No,18,3.0,3,0,2.0,3,10.0,7
126,49.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,2,4,Research Director,4,Divorced,13964.0,3,No,14,4.0,2,2,2.0,2,7.0,7
127,38.0,No,Travel_Frequently,Research & Development,2,3,Life Sciences,4,Male,2,1,Laboratory Technician,4,Married,2610.0,1,Yes,12,3.0,2,1,2.0,3,4.0,2
128,28.0,No,Travel_Rarely,Research & Development,3,4,Medical,3,Male,3,4,Research Director,3,Married,2028.0,3,Yes,16,3.0,4,3,3.0,2,4.0,3
129,30.0,No,Travel_Frequently,Sales,3,2,Medical,2,Male,3,2,Sales Executive,3,Married,3500.0,1,No,14,3.0,1,1,2.0,2,1.0,0
130,36.0,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,3886.0,1,No,11,4.0,3,2,2.0,3,10.0,2
131,42.0,No,Non-Travel,Research & Development,3,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,17861.0,1,No,12,3.0,3,0,2.0,2,20.0,10
132,32.0,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,2,2,Healthcare Representative,3,Single,5562.0,2,No,13,4.0,4,0,2.0,3,1.0,2
133,43.0,No,Travel_Rarely,Research & Development,18,5,Life Sciences,2,Female,4,2,Research Scientist,1,Married,17159.0,1,No,11,4.0,4,0,2.0,3,4.0,15
134,59.0,No,Travel_Rarely,Research & Development,22,3,Life Sciences,2,Male,4,3,Manager,2,Divorced,11904.0,7,No,18,3.0,2,1,1.0,2,6.0,7
135,45.0,Yes,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,1,Single,4805.0,3,No,14,3.0,2,0,3.0,1,8.0,4
136,36.0,Yes,Travel_Rarely,Sales,11,3,Marketing,3,Male,3,3,Sales Executive,4,Married,8847.0,1,No,18,3.0,1,2,2.0,4,3.0,8
137,51.0,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2838.0,1,No,11,3.0,4,0,6.0,3,7.0,3
138,34.0,Yes,Travel_Frequently,Research & Development,15,1,Medical,2,Female,3,3,Manager,3,Married,15992.0,7,Yes,12,3.0,4,0,2.0,4,4.0,6
139,42.0,No,Travel_Rarely,Research & Development,7,2,Life Sciences,3,Female,2,3,Manufacturing Director,3,Married,5810.0,1,No,24,3.0,1,1,5.0,3,5.0,9
140,28.0,No,Travel_Frequently,Sales,1,5,Marketing,2,Male,3,2,Sales Executive,1,Divorced,3485.0,5,Yes,21,3.0,3,1,2.0,2,0.0,3
141,46.0,No,Travel_Rarely,Research & Development,2,4,Technical Degree,2,Male,3,1,Research Scientist,2,Married,9396.0,1,No,11,3.0,3,1,3.0,2,4.0,3
142,29.0,No,Travel_Rarely,Sales,29,4,Life Sciences,1,Female,3,1,Sales Representative,4,Divorced,2974.0,2,No,15,3.0,2,2,2.0,2,5.0,8
143,40.0,No,Travel_Rarely,Research & Development,1,2,Medical,2,Male,2,1,Laboratory Technician,3,Divorced,9705.0,1,No,12,3.0,3,3,2.0,2,1.0,1
144,31.0,No,Travel_Rarely,Research & Development,19,2,Life Sciences,3,Male,3,2,Research Scientist,1,Divorced,3875.0,2,No,16,3.0,1,2,2.0,2,2.0,0
145,34.0,No,Travel_Rarely,Research & Development,2,1,Medical,1,Female,4,1,Research Scientist,1,Single,8268.0,7,No,13,3.0,3,0,2.0,2,7.0,3
146,29.0,No,Travel_Frequently,Research & Development,9,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Married,1790.0,1,Yes,20,3.0,2,1,0.0,3,6.0,14
147,47.0,Yes,Non-Travel,Sales,25,4,Marketing,4,Male,2,3,Sales Executive,2,Single,11849.0,2,Yes,12,3.0,3,0,2.0,3,10.0,4
148,41.0,No,Non-Travel,Research & Development,25,4,Medical,3,Male,3,3,Healthcare Representative,3,Divorced,6230.0,1,Yes,11,3.0,3,1,3.0,2,14.0,10
149,46.0,Yes,Travel_Rarely,Sales,13,5,Marketing,2,Female,2,2,Sales Executive,1,Divorced,18947.0,5,Yes,13,3.0,2,3,2.0,3,6.0,2
150,19.0,No,Travel_Rarely,Research & Development,9,3,Life Sciences,3,Female,4,1,Research Scientist,3,Married,1483.0,6,No,18,3.0,1,2,6.0,2,1.0,0
151,34.0,No,Travel_Rarely,Research & Development,8,5,Life Sciences,1,Male,1,1,Laboratory Technician,3,Married,9725.0,1,No,19,3.0,4,3,2.0,3,15.0,2
152,30.0,No,Travel_Frequently,Human Resources,6,2,Medical,2,Female,3,1,Human Resources,3,Married,6125.0,8,No,17,3.0,4,0,3.0,2,4.0,2
153,35.0,Yes,Travel_Frequently,Research & Development,2,3,Medical,3,Female,3,2,Manufacturing Director,2,Married,8789.0,4,No,11,3.0,1,2,3.0,3,10.0,2
154,40.0,No,Travel_Rarely,Sales,29,4,Technical Degree,3,Female,3,3,Sales Executive,2,Married,19033.0,3,No,12,3.0,2,1,2.0,3,20.0,2
155,53.0,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,4450.0,2,Yes,14,3.0,3,3,3.0,3,4.0,0
156,45.0,No,Travel_Rarely,Research & Development,7,3,Medical,4,Male,2,2,Healthcare Representative,1,Single,9724.0,8,No,19,3.0,1,0,2.0,1,1.0,6
157,50.0,No,Travel_Rarely,Sales,21,4,Life Sciences,4,Male,4,2,Sales Executive,4,Single,2168.0,1,No,12,4.0,4,0,3.0,3,2.0,7
158,39.0,Yes,Non-Travel,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,2501.0,1,No,16,3.0,4,0,4.0,3,3.0,8
159,31.0,No,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,1,Laboratory Technician,3,Single,17099.0,4,No,18,3.0,1,0,2.0,3,11.0,2
160,46.0,No,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Married,3423.0,1,Yes,14,3.0,4,1,2.0,2,7.0,14
